"PCBWay Bom Quotation, Product No.:T-I7W330878A",,,,,,,,,,,,,,
Item #,*Designator,*Qty,Manufacturer,*Mfg Part #,Description / Value,*Package/Footprint,Your Instructions / Notes,*Unit Price(5 sets),*Total,*Delivery Time,*Actual Purchase Mfg Part #,*PCBWay Note,Customer Reply,PCBWay Update
1,"C100,C102,C106,C305,C307,C308,C502",7,Yageo,CC0603KRX5R8BB104,100nF,OPL_Capacitor:C0603,,$0.240,$8.400,,,,,
2,"C101,C103,C104,C105,C302,C303,C501",7,Yageo,CC0805KKX5R8BB106,10uF,OPL_Capacitor:C0805,,$0.080,$2.800,,,,,
3,C200,1,Yageo,CC0603KRX7R8BB332,3.3nF,OPL_Capacitor:C0603,,$0.160,$0.800,,,,,
4,"C201,C204,C402,C403,C404",5,Yageo,CC0603KRX5R8BB104,100nF,OPL_Capacitor:C0603,,$0.240,$6.000,,,,,
5,C202,1,Yageo,CC0603KRX6S8BB105,1uF,OPL_Capacitor:C0603,,$0.240,$1.200,,,,,
6,"C203,C205,C304",3,Yageo,CC0603KRX5R8BB104,100nF,OPL_Capacitor:C0603,,$0.240,$3.600,,,,,
7,"C300,C301,C306,C309,C310",5,Yageo,CC0805MKX5R8BB226,22uF,OPL_Capacitor:C0805,,$0.480,$12.000,,,,,
8,"C311,C503",2,Yageo,CC0603KRX5R8BB104,100uF,OPL_Capacitor:C0603,,$0.240,$2.400,,,,,
9,C400,1,Yageo,CC0603KRX5R8BB104,100nF,OPL_Capacitor:C0603,,$0.240,$1.200,,,,,
10,C500,1,Yageo,CC0805MKX5R8BB226,22uF,OPL_Capacitor:C0805,,$0.480,$2.400,,,,,
11,D100,1,Diodes Incorporated,1N5819HW1-7-F,1N5819HW1-7-F,Diode_SMD:D_SMA,,$0.407,$2.035,,,,,
12,D101,1,Kingbright,APTF1616SEEZGQBDC,RGBLED,,,$0.708,$3.540,,,,,
13,D200,1,Diodes Incorporated,BZT52C5V6T-7,BZT52C5V6T-7,,,$0.272,$1.360,7-10 Workdays,,,,
14,D300,1,Diodes Incorporated,1N5819HW1-7-F,1N5819HW1-7-F,Diode_SMD:D_SMA,,$0.407,$2.035,,,,,
